,idx,age,Red_cf,Green_cf,Blue_cf,Red_origin,Green_origin,Blue_origin
0,0,40.0,151.99948120117188,49.1453971862793,20.58771324157715,153.39166259765625,50.718955993652344,20.123910903930664
1,0,41.0,152.03338623046875,49.183624267578125,20.589696884155273,153.39166259765625,50.718955993652344,20.123910903930664
2,0,42.0,152.1080322265625,49.30200958251953,20.563379287719727,153.39166259765625,50.718955993652344,20.123910903930664
3,0,43.0,152.14816284179688,49.37863540649414,20.556734085083008,153.39166259765625,50.718955993652344,20.123910903930664
4,0,44.0,152.20933532714844,49.459659576416016,20.542583465576172,153.39166259765625,50.718955993652344,20.123910903930664
5,0,45.0,152.23306274414062,49.47950744628906,20.540771484375,153.39166259765625,50.718955993652344,20.123910903930664
6,0,46.0,152.32754516601562,49.57917022705078,20.49452018737793,153.39166259765625,50.718955993652344,20.123910903930664
7,0,47.0,152.39588928222656,49.63560104370117,20.447925567626953,153.39166259765625,50.718955993652344,20.123910903930664
8,0,48.0,152.43592834472656,49.65148162841797,20.46708106994629,153.39166259765625,50.718955993652344,20.123910903930664
9,0,49.0,152.50262451171875,49.697471618652344,20.397876739501953,153.39166259765625,50.718955993652344,20.123910903930664
10,0,50.0,152.53128051757812,49.71861267089844,20.36396598815918,153.39166259765625,50.718955993652344,20.123910903930664
11,0,51.0,152.57054138183594,49.742427825927734,20.32927703857422,153.39166259765625,50.718955993652344,20.123910903930664
12,0,52.0,152.61688232421875,49.768226623535156,20.274744033813477,153.39166259765625,50.718955993652344,20.123910903930664
13,0,53.0,152.67417907714844,49.797996520996094,20.243593215942383,153.39166259765625,50.718955993652344,20.123910903930664
14,0,54.0,152.7367401123047,49.85011672973633,20.206315994262695,153.39166259765625,50.718955993652344,20.123910903930664
15,0,55.0,152.7920379638672,49.89360427856445,20.177841186523438,153.39166259765625,50.718955993652344,20.123910903930664
16,0,56.0,152.83872985839844,49.95763397216797,20.18345069885254,153.39166259765625,50.718955993652344,20.123910903930664
17,0,57.0,152.9449462890625,50.06488800048828,20.126413345336914,153.39166259765625,50.718955993652344,20.123910903930664
18,0,58.0,152.99862670898438,50.14332580566406,20.126672744750977,153.39166259765625,50.718955993652344,20.123910903930664
19,0,59.0,153.10968017578125,50.3184928894043,20.12520408630371,153.39166259765625,50.718955993652344,20.123910903930664
20,0,60.0,153.1947479248047,50.488826751708984,20.12399673461914,153.39166259765625,50.718955993652344,20.123910903930664
21,0,61.0,153.30572509765625,50.63482666015625,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
22,0,62.0,153.30010986328125,50.63793182373047,20.124170303344727,153.39166259765625,50.718955993652344,20.123910903930664
23,0,63.0,153.33497619628906,50.6888427734375,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
24,0,64.0,153.35516357421875,50.71541976928711,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
25,0,65.0,153.37034606933594,50.717491149902344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
26,0,66.0,153.39166259765625,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
27,0,67.0,153.39166259765625,50.71852493286133,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
28,0,68.0,153.39166259765625,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
29,0,69.0,153.39166259765625,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
30,0,70.0,153.39166259765625,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
31,0,71.0,153.39166259765625,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
32,0,72.0,153.3998565673828,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
33,0,73.0,153.414794921875,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
34,0,74.0,153.42730712890625,50.718955993652344,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
35,0,75.0,153.44110107421875,50.720855712890625,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
36,0,76.0,153.45594787597656,50.74052810668945,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
37,0,77.0,153.48934936523438,50.747344970703125,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
38,0,78.0,153.54664611816406,50.85469055175781,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
39,0,79.0,153.60281372070312,50.937007904052734,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
40,0,80.0,153.6407012939453,50.950469970703125,20.123910903930664,153.39166259765625,50.718955993652344,20.123910903930664
41,1,40.0,132.6901397705078,44.17335510253906,21.135128021240234,133.76443481445312,45.41522216796875,20.793855667114258
42,1,41.0,132.75537109375,44.23375701904297,21.113384246826172,133.76443481445312,45.41522216796875,20.793855667114258
43,1,42.0,132.79852294921875,44.24773406982422,21.114072799682617,133.76443481445312,45.41522216796875,20.793855667114258
44,1,43.0,132.85433959960938,44.29398727416992,21.06937599182129,133.76443481445312,45.41522216796875,20.793855667114258
45,1,44.0,132.89041137695312,44.30028533935547,21.078264236450195,133.76443481445312,45.41522216796875,20.793855667114258
46,1,45.0,132.93373107910156,44.34101486206055,21.03529167175293,133.76443481445312,45.41522216796875,20.793855667114258
47,1,46.0,132.95684814453125,44.36025619506836,21.02752685546875,133.76443481445312,45.41522216796875,20.793855667114258
48,1,47.0,132.9943084716797,44.390628814697266,20.98533058166504,133.76443481445312,45.41522216796875,20.793855667114258
